"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1","NP_X"
"314","yddA",0,1,0,0,0,0,0,0,0,0,0
"315","cysE",0,1,0,0,0,0,0,0,0,0,0
"316","sanA",0,1,0,0,0,0,0,0,0,0,0
"317","manY",1,0,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0.714285714285714
"318","hisQ",1,0,0,0,0,0,0,0,0,0,1
"319","dfp",0,1,0,0,0,0,0,0,0,0,0
"320","ydiP",0,1,0,0,0,0,0,0,0,0,0
"321","cyoB",1,0,0,0,0,0,0.0555555555555556,0,0,0.111111111111111,0.833333333333334
"322","ycjY",0,1,0,0,0,0,0,0,0,0,0
"323","tdh",1,0,0,0,0,0,0,0,0,0,1
"324","ybjJ",0,1,0,0,0,0,0,0,0,0,0
"325","yhfK",0,1,0,0,0,0,0,0,0,0,0
"326","yibQ",0,1,0,0,0,0,0,0,0,0,0
"327","ccmF",1,0,0,0,0,0,0,0,0.166666666666667,0,0.833333333333333
"328","nth",0,1,0,0,0,0,0,0,0,0,0
"329","recC",1,0,0,0,0,0,0,0,0,0,1
"330","aegA",0,1,0,0,0,0,0,0,0,0,0
"331","uvrY",1,0,0,0,0,0,0,0,0,0,1
"332","fucR",1,0,0,0,0,0,0,0,0,0,1
"333","rpsQ",1,0,0,0,0,0,0,0,0,0,1
"334","fepD",1,0,0,0,0,0,0,0,0,0,1
"335","aroP",1,0,0,0,0,0,0,0,0,0,1
"336","yfeD",0,1,0,0,0,0,0,0,0,0,0
"337","aqpZ",0,1,0,0,0,0,0,0,0,0,0
"338","gltL",1,0,0,0,0,0,0,0,0,0,1
"339","cycA",1,0,0,0,0,0,0.142857142857143,0.285714285714286,0,0,0.571428571428571
"340","aroF",1,0,0,0,0,0,0,0,0,0,1
"341","nadE",1,0,0,0,0,0,0,0,0,0,1
"342","gcvP",1,0,0,0,0,0,0,0,0,0,1
"343","yebY",0,1,0,0,0,0,0,0,0,0,0
"344","mutM",1,0,0,0,0,0,0,0,0,0,1
"345","mdtC",1,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667
"346","rcsB",1,0,0,0,0,0,0,0,0,0,1
"347","exbD",1,0,0,0,0,0,0,0,0,0,1
"348","ydhW",1,0,0,0,0,0,0,0,0,0,1
"349","crl",0,1,0,0,0,0,0,0,0,0,0
"350","yieP",0,1,0,0,0,0,0,0,0,0,0
"351","znuB",1,0,0,0,0,0,0,0,0,0,1
"352","yeaC",0,1,0,0,0,0,0,0,0,0,0
"353","torD",1,0,0,0,0,0,0,0,0,0,1
"354","sdaB",0,1,0,0,0,0,0,0,0,0,0
"355","gltP",1,0,0,0,0,0,0.25,0,0,0,0.75
"356","agaV",1,0,0,0,0,0,0,0,0,0,1
"357","sucB",1,0,0.111111111111111,0,0,0.0555555555555556,0.111111111111111,0,0,0,0.722222222222222
"358","yafD",0,1,0,0,0,0,0,0,0,0,0
"359","aldA",1,0,0,0,0,0,0,0,0,0,1
"360","ilvM",1,0,0,0,0,0,0.333333333333333,0,0,0,0.666666666666667
"361","codB",1,0,0,0,0,0,0,0,0,0,1
"362","cdsA",0,1,0,0,0,0,0,0,0,0,0
"363","pyrD",1,0,0,0,0,0,0,0,0,0,1
"364","yiaD",0,1,0,0,0,0,0,0,0,0,0
"365","glgC",1,0,0,0,0,0,0,0,0,0,1
"366","amn",1,0,0,0,0,0,0,0,0,0,1
"367","eco",0,1,0,0,0,0,0,0,0,0,0
"368","uhpB",0,1,0,0,0,0,0,0,0,0,0
"369","ybhG",1,0,0,0,0,0,0,0,0,0,1
"370","pck",1,0,0,0,0,0,0,0,0,0,1
"371","rimJ",0,1,0,0,0,0,0,0,0,0,0
"372","can",1,0,0,0,0,0,0,0,0,0,1
"373","iscA",1,0,0,0,0,0,0,0,0,0,1
"374","chaA",0,1,0,0,0,0,0,0,0,0,0
"375","ydhR",0,1,0,0,0,0,0,0,0,0,0
"376","pflB",1,0,0,0.125,0,0,0,0.125,0.125,0,0.625
"377","ydgJ",0,1,0,0,0,0,0,0,0,0,0
"378","acs",1,0,0.133333333333333,0,0,0,0.133333333333333,0,0,0,0.733333333333333
"379","asd",0,1,0,0,0,0,0,0,0,0,0
"380","tpx",1,0,0,0,0,0,0,0,0,0,1
"381","emrD",1,0,0,0,0,0,0,0,0,0,1
"382","yjjP",0,1,0,0,0,0,0,0,0,0,0
"383","ydiE",0,1,0,0,0,0,0,0,0,0,0
"384","glgA",1,0,0,0,0,0,0,0,0,0,1
"385","yqaB",0,1,0,0,0,0,0,0,0,0,0
"386","glyA",1,0,0,0,0,0,0,0,0,0,1
"387","ais",0,1,0,0,0,0,0,0,0,0,0
"388","aroD",0,1,0,0,0,0,0,0,0,0,0
"389","folP",0,1,0,0,0,0,0,0,0,0,0
"390","yiiQ",0,1,0,0,0,0,0,0,0,0,0
