"","V1","Loop_number","No_loop","Loop"
"1451","uspA",8,0,1
"1457","pyrS",0,0,1
"1458","queE",0,0,1
"1462","mrr",0,0,1
"1464","ugpB",1,0,1
"1471","srmB",0,0,1
"1473","yecA",0,0,1
"1479","yaeH",0,0,1
"1482","yqjE",0,0,1
"1498","ydbK",2,0,1
"1499","yiiS",2,0,1
"1501","grxB",0,0,1
"1502","yacL",1,0,1
"1506","aldB",4,0,1
"1507","ybhC",0,0,1
"1508","arcA",0,0,1
"1509","rutD",7,0,1
"1513","mscL",0,0,1
"1522","yjeI",0,0,1
"1526","hdhA",0,0,1
"1530","ycbZ",0,0,1
"1536","osmE",16,0,1
"1538","mraZ",0,0,1
"1540","rof",0,0,1
"1546","elaB",0,0,1
"1547","ccmG",33,0,1
"1551","ribE",2,0,1
"1553","yhaH",0,0,1
"1557","msyB",0,0,1
"1559","cbpM",4,0,1
"1566","ytfK",9,0,1
"1572","otsB",0,0,1
"1575","puuD",5,0,1
"1586","yadS",1,0,1
"1590","cysQ",0,0,1
"1595","holA",0,0,1
"1597","elaA",0,0,1
"1598","livG",0,0,1
"1602","bolA",6,0,1
"1607","prc",0,0,1
"1617","holB",0,0,1
"1619","nrdB",8,0,1
"1623","ydfK",0,0,1
"1631","rimP",4,0,1
"1632","sodC",0,0,1
"1634","ecnB",2,0,1
"1635","yeaO",0,0,1
"1641","yfcG",0,0,1
"1642","plaP",0,0,1
"1647","pyrI",0,0,1
"1648","fumD",0,0,1
"1657","ldhA",1,0,1
"1660","ytjA",0,0,1
"1662","rbfA",4,0,1
"1667","ynfN",0,0,1
"1673","iclR",24,0,1
"1674","flgA",22,0,1
"1675","proW",12,0,1
"1676","flhB",22,0,1
"1677","csdA",0,0,1
"1682","aspS",0,0,1
"1684","otsA",0,0,1
"1687","pyrR",0,0,1
"1691","hscB",0,0,1
"1699","rpoD",6,0,1
"1715","nupC",3,0,1
"1722","pspE",5,0,1
"1729","dtpA",8,0,1
"1736","yobD",0,0,1
"1738","narP",2,0,1
"1742","valS",1,0,1
"1757","katE",5,0,1
"1758","ibpA",2,0,1
"1760","ydgK",0,0,1
"1773","accB",1,0,1
"1775","rdgC",0,0,1
"1781","nrdA",8,0,1
"1784","evgA",5,0,1
"1789","trhO",0,0,1
"1796","trxC",0,0,1
"1797","purE",0,0,1
"1799","ibpB",16,0,1
"1802","ucpA",0,0,1
"1806","fhuA",0,0,1
"1809","sbmC",1,0,1
"1813","puuA",11,0,1
"1825","hprS",0,0,1
"1844","exuR",2,0,1
"1848","lexA",0,0,1
"1856","pfkB",5,0,1
"1858","bfr",1,0,1
"1862","ybaY",0,0,1
"1864","nsrR",0,0,1
"1870","ybaQ",0,0,1
"1872","dcrB",0,0,1
"1881","ssuC",4,0,1
"1882","ssuA",4,0,1
"1885","psiE",1,0,1
"1886","degP",4,0,1
"1888","metB",1,0,1
"1890","alaE",0,0,1
"1895","dgcT",2,0,1
"1896","zapC",0,0,1
"1900","cysI",5,0,1
"1908","cpxP",1,0,1
"1913","hprR",0,0,1
"1915","pliG",0,0,1
"1917","gnsB",0,0,1
"1918","accC",2,0,1
"1922","yegP",0,0,1
"1924","allB",0,0,1
"1928","cspE",9,0,1
"1932","carB",17,0,1
"1937","cysP",1,0,1
"1940","hcxA",0,0,1
"1941","tsuA",0,0,1
"1942","yfeR",0,0,1
"1952","yghA",0,0,1
"1956","yrbL",4,0,1
"1958","asnB",7,0,1
"1960","ssnA",1,0,1
"1966","puuR",3,0,1
"1968","ybcM",0,0,1
"1970","yqjK",0,0,1
"1972","artJ",0,0,1
"1973","yqcA",0,0,1
"1976","frmB",0,0,1
"1977","bdcA",0,0,1
"1979","argD",1,0,1
"1980","lpxC",3,0,1
"1983","uidA",3,0,1
"1984","ompA",1,0,1
"1985","ydgC",0,0,1
"1987","ymgD",0,0,1
"1988","mqsR",0,0,1
"1990","ychN",0,0,1
"2002","dgkA",0,0,1
"2003","ybjQ",0,0,1
"2005","soxR",3,0,1
"2008","yddM",0,0,1
"2014","uspB",5,0,1
"2016","sbp",0,0,1
"2017","ytfH",0,0,1
"2028","ugd",0,0,1
"2031","iscS",1,0,1
"2037","ygiN",0,0,1
"2042","nanA",2,0,1
"2044","yciW",0,0,1
"2048","nagE",0,0,1
"2051","zapB",0,0,1
"2055","nlpC",0,0,1
"2056","ytfB",0,0,1
"2067","yniB",0,0,1
"2073","folA",6,0,1
"2074","folX",0,0,1
"2080","erpA",3,0,1
"2081","fabB",1,0,1
"2082","fur",6,0,1
"2085","leuL",3,0,1
"2090","yiiR",0,0,1
